#{"t_start": 1775987739.66435, "env_id": "None"}
r,l,t,procurement_cost,risk_term,trading_cost,hedge_error,cvar
-19.883913,96,1.929975,1595943826.6740685,2346084.1983942105,5496353.758820842,1266.2534043557032,3865212.0738569116
-20.074349,96,3.234612,1591966657.5274494,2168508.594757974,299272.48603380134,14.215382545882946,3565819.0128963483
-17.48582,96,4.829109,1561995508.0742335,2083558.8075371217,532312.6532387165,14.215382545882882,3451636.812812674
-13.740423,96,6.132169,1594416448.8474567,2377705.243282949,11320291.564145947,1592.142857142857,3922941.331990519
-10.976558,96,7.459821,1524004114.437107,1977473.3983868898,6113.859268358258,14.215382545882871,3309008.4849171788
-11.950344,96,8.979365,1533821108.1884227,2068720.5966696464,1028980.8481570259,366.62111578981177,3438502.331784344
-10.826609,96,10.327248,1463235399.9854228,2007552.1951630535,10045983.033151774,1594.6906526577877,3411161.125972561
-18.125581,96,11.54184,1477079631.5683951,1848238.2364437636,532312.6532387165,14.215382545882871,3134133.2210102025
-9.441848,96,13.30643,1530640390.9904742,1995895.4503190736,532312.6532387165,14.215382545882893,3333807.4162988043
-8.121946,96,14.63723,1375568683.8918774,1583487.627232388,114502.82024550263,14.21538254588294,2769520.3184830034
-7.440622,96,16.430977,1437121844.050822,1910696.208307412,7354203.757143324,1403.8529413803324,3271894.6207843386
-4.562842,96,17.886886,1452804049.2123747,1901791.1303608336,2152620.3920699274,678.219805484957,3227055.377235122
2.742768,96,19.320725,1374209267.4295979,1667526.121296238,1080803.8429440777,509.74569291968544,2896048.9238510816
-6.69729,96,21.018774,1463523850.025883,2008183.3346824297,10089416.127122888,1596.3818307796162,3411701.474138536
-1.651835,96,22.459059,1436576250.3555553,1745444.1472333062,597501.265328944,121.39649929892073,2989784.368170521
3.87476,96,23.813253,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
-3.84391,96,25.563264,1537696435.4483154,2015561.2106304234,348236.019720593,14.215382545882893,3360281.1749269576
5.31907,96,26.993318,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
6.243753,96,28.89232,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
11.831203,96,30.318775,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
9.687234,96,31.780915,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
8.639009,96,33.517804,1375568690.3410397,1583487.6428476432,532312.6532387167,14.21538254588294,2769520.340357792
7.180608,96,34.946915,1375568683.8918774,1583487.627232388,109237.84280427519,14.21538254588294,2769520.3184830034
10.064133,96,36.333465,1427067187.5799496,1847030.8906353847,2947696.781340219,834.9372388750103,3156464.9744685343
12.310903,96,38.045083,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
13.811958,96,39.442116,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
4.501555,96,41.266189,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
8.690955,96,42.654071,1382467133.3982458,1600246.0234553644,532312.6532387167,14.215382545882935,2792919.036436837
6.879049,96,44.13246,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
7.526627,96,45.869943,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
12.438585,96,47.310525,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
7.779336,96,48.729383,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
9.617987,96,50.517341,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
9.487226,96,52.026492,1443193057.1021562,1756681.256554784,532312.6532387167,14.215382545882925,3009143.237020077
7.414701,96,53.765461,1448799432.0326357,1933058.7109716623,6275670.505053035,1294.586638596616,3298191.9879425904
9.772296,96,55.220036,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
11.336008,96,56.69233,1424725116.6750522,1828847.9234548847,2286143.380497447,707.4523703782573,3127511.7189358077
12.797552,96,58.45483,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
14.053664,96,59.912111,1439046140.8818328,1747015.9886037398,562626.6917362821,78.0240470569481,2992342.363801808
10.820898,96,61.293893,1356462737.3700757,1635544.929240323,1273327.895447738,597.134891519401,2852958.7562984363
12.522472,96,63.05507,1430505561.11859,1864146.3590068666,3606893.340292231,941.7857118468601,3184791.902624019
13.833266,96,64.49307,1375568683.8918774,1583487.627232388,3469.2536731583264,14.21538254588294,2769520.3184830034
