week_start,upper_action_bound_mode,lower_action_bound_mode,settlement_mode,non_negative_position_required,active_bound_state_groups,forward_price_linkage_in_window,forward_price_linkage_days
2025-10-27,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-11-03,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-11-10,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-11-17,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-11-24,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-12-01,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,60.0
2025-12-08,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,55.0
2025-12-15,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,48.0
2025-12-22,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,41.0
2025-12-29,base,tight,previous_week_da_mean,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,0.0,34.0
2026-01-05,base,tight,renewable_mechanism,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,1.0,27.0
2026-01-12,base,tight,renewable_mechanism,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,1.0,20.0
2026-01-19,base,tight,renewable_mechanism,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,1.0,13.0
2026-01-26,base,tight,renewable_mechanism,1.0,ancillary_coupling|info_forecast_boundary|market_coupling|renewable_mechanism,1.0,6.0
2026-02-02,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-02-09,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-02-16,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-02-23,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-03-02,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-03-09,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
2026-03-16,linked,tight,linked_mix,1.0,ancillary_coupling|info_forecast_boundary|lt_price_linkage|market_coupling|renewable_mechanism,0.0,60.0
