window_name,window_sample_count,window_excess_return_mean,window_excess_return_volatility,window_excess_return_win_rate,window_excess_return_max_drawdown,window_policy_risk_adjusted_mean,window_policy_risk_adjusted_median,window_policy_risk_adjusted_p25,window_policy_risk_adjusted_p75,window_policy_risk_adjusted_volatility,window_policy_risk_adjusted_cvar95,window_policy_risk_adjusted_cvar99,window_policy_risk_adjusted_sharpe,window_sharpe_guard_triggered,window_sharpe_warning,window_metrics_tier,active_excess_return_positive,active_excess_return_persistent,dynamic_lock_only_outperformed,excess_return_conclusion
window_01,1,243968.0,0.0,1.0,0.0,57870.51189012491,57870.51189012491,57870.51189012491,57870.51189012491,0.0,57870.51189012491,57870.51189012491,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_02,1,-310582720.0,0.0,0.0,0.0,-311322249.39912176,-311322249.39912176,-311322249.39912176,-311322249.39912176,0.0,-311322249.39912176,-311322249.39912176,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_03,1,-161315680.0,0.0,0.0,0.0,-162023631.1009075,-162023631.1009075,-162023631.1009075,-162023631.1009075,0.0,-162023631.1009075,-162023631.1009075,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_04,1,-242398768.0,0.0,0.0,0.0,-243003562.76311475,-243003562.76311475,-243003562.76311475,-243003562.76311475,0.0,-243003562.76311475,-243003562.76311475,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
window_05,1,98336640.0,0.0,1.0,0.0,98146188.87751025,98146188.87751025,98146188.87751025,98146188.87751025,0.0,98146188.87751025,98146188.87751025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_06,1,44654720.0,0.0,1.0,0.0,44504284.81501025,44504284.81501025,44504284.81501025,44504284.81501025,0.0,44504284.81501025,44504284.81501025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_07,1,19722112.0,0.0,1.0,0.0,19563835.377510246,19563835.377510246,19563835.377510246,19563835.377510246,0.0,19563835.377510246,19563835.377510246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_08,1,20766592.0,0.0,1.0,0.0,20587680.674385246,20587680.674385246,20587680.674385246,20587680.674385246,0.0,20587680.674385246,20587680.674385246,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_09,1,72543872.0,0.0,1.0,0.0,72388265.75251025,72388265.75251025,72388265.75251025,72388265.75251025,0.0,72388265.75251025,72388265.75251025,0.0,True,insufficient_samples,appendix_only,True,True,True,持续跑赢 dynamic_lock_only
window_10,1,-16533376.0,0.0,0.0,0.0,-16662594.864677254,-16662594.864677254,-16662594.864677254,-16662594.864677254,0.0,-16662594.864677254,-16662594.864677254,0.0,True,insufficient_samples,appendix_only,False,False,False,未持续跑赢 dynamic_lock_only
