训练步数,损失值
256.0,0.0
512.0,0.8692312240600586
768.0,0.7610119581222534
1024.0,0.7610119581222534
1280.0,0.6782447695732117
1536.0,1.0268983840942383
1792.0,0.6663576364517212
2048.0,0.6663576364517212
2304.0,0.6978795528411865
2560.0,0.5038989186286926
2816.0,0.41877734661102295
3072.0,0.41877734661102295
3328.0,0.3150050640106201
3584.0,0.3070164620876312
3840.0,0.2680616080760956
4096.0,0.2680616080760956
4352.0,0.16121965646743774
4608.0,0.2746455669403076
4864.0,0.12335290014743805
5120.0,0.12335290014743805
5376.0,0.03924078494310379
5632.0,0.023685257881879807
5888.0,0.04780346155166626
6144.0,0.04780346155166626
6400.0,0.08063387125730515
6656.0,0.02498055249452591
6912.0,0.047557853162288666
7168.0,0.047557853162288666
7424.0,0.10494957119226456
7680.0,0.08789149671792984
7936.0,0.17030850052833557
8192.0,0.17030850052833557
8448.0,0.2791938781738281
8704.0,0.1993677020072937
8960.0,0.1640525758266449
9216.0,0.1640525758266449
9472.0,0.25987738370895386
9728.0,0.21053636074066162
9984.0,0.3642333447933197
10240.0,0.3642333447933197
10496.0,0.24157439172267914
10752.0,0.29987427592277527
11008.0,0.29987427592277527
11264.0,0.18167442083358765
11520.0,0.32537841796875
11776.0,0.2420845627784729
12032.0,0.2420845627784729
12288.0,0.3055056631565094
12544.0,0.3043062090873718
12800.0,0.23946164548397064
13056.0,0.23946164548397064
13312.0,0.276973158121109
13568.0,0.31131476163864136
13824.0,0.4722897410392761
14080.0,0.4722897410392761
14336.0,0.40222328901290894
14592.0,0.31102970242500305
14848.0,0.3258090317249298
15104.0,0.3258090317249298
15360.0,0.41173988580703735
15616.0,0.3938213884830475
15872.0,0.4122365117073059
16128.0,0.4122365117073059
16384.0,0.47126129269599915
16640.0,0.369851678609848
16896.0,0.35136550664901733
17152.0,0.35136550664901733
17408.0,0.2722723186016083
17664.0,0.31565073132514954
17920.0,0.36785534024238586
18176.0,0.36785534024238586
18432.0,0.3165901303291321
18688.0,0.45707231760025024
18944.0,0.29103758931159973
19200.0,0.29103758931159973
19456.0,0.3208032548427582
19712.0,0.38615739345550537
19968.0,0.5261684656143188
20224.0,0.5261684656143188
20480.0,0.34238648414611816
20736.0,0.21000885963439941
20992.0,0.3353442847728729
21248.0,0.3353442847728729
21504.0,0.33043336868286133
21760.0,0.29136356711387634
22016.0,0.29136356711387634
22272.0,0.360818088054657
22528.0,0.3455761671066284
22784.0,0.243707075715065
23040.0,0.243707075715065
23296.0,0.4677460193634033
23552.0,0.30644726753234863
23808.0,0.42310816049575806
24064.0,0.42310816049575806
24320.0,0.2553745210170746
24576.0,0.436514675617218
24832.0,0.2754887640476227
25088.0,0.2754887640476227
25344.0,0.3791894018650055
25600.0,0.3513430655002594
25856.0,0.3001641035079956
26112.0,0.3001641035079956
26368.0,0.35150542855262756
26624.0,0.3182961940765381
26880.0,0.33601218461990356
27136.0,0.33601218461990356
27392.0,0.35770219564437866
27648.0,0.40286388993263245
27904.0,0.4038980007171631
28160.0,0.4038980007171631
28416.0,0.4931564927101135
28672.0,0.3309510350227356
28928.0,0.4109530746936798
29184.0,0.4109530746936798
29440.0,0.5192362070083618
29696.0,0.39368003606796265
29952.0,0.5152921080589294
30208.0,0.5152921080589294
30464.0,0.3105003535747528
30720.0,0.6650734543800354
30976.0,0.45148730278015137
31232.0,0.45148730278015137
31488.0,0.39320898056030273
31744.0,0.504142165184021
32000.0,0.504142165184021
32256.0,0.3724983334541321
32512.0,0.4756454825401306
32768.0,0.32407453656196594
33024.0,0.32407453656196594
33280.0,0.47778600454330444
33536.0,0.2576628625392914
33792.0,0.5444282293319702
34048.0,0.5444282293319702
34304.0,0.4822380244731903
34560.0,0.49453115463256836
34816.0,0.36474019289016724
35072.0,0.36474019289016724
35328.0,0.4346354305744171
35584.0,0.3801029324531555
35840.0,0.4822172522544861
36096.0,0.4822172522544861
36352.0,0.44711533188819885
36608.0,0.2831287086009979
36864.0,0.3312690854072571
37120.0,0.3312690854072571
37376.0,0.4328816533088684
37632.0,0.4841664731502533
37888.0,0.4056839644908905
38144.0,0.4056839644908905
38400.0,0.5354287624359131
38656.0,0.4352701008319855
38912.0,0.3007502555847168
39168.0,0.3007502555847168
39424.0,0.5592194199562073
39680.0,0.37088721990585327
39936.0,0.4588469862937927
40192.0,0.4588469862937927
40448.0,0.27248668670654297
40704.0,0.34874194860458374
40960.0,0.4180319607257843
41216.0,0.4180319607257843
41472.0,0.6552782654762268
41728.0,0.6932398676872253
41984.0,0.5111480355262756
42240.0,0.5111480355262756
42496.0,0.513846755027771
42752.0,0.41072314977645874
43008.0,0.41072314977645874
43264.0,0.44540107250213623
43520.0,0.3839273154735565
43776.0,0.49163034558296204
44032.0,0.49163034558296204
44288.0,0.5115224123001099
44544.0,0.6329104900360107
44800.0,0.49908244609832764
45056.0,0.49908244609832764
45312.0,0.5702096223831177
45568.0,0.5698158740997314
45824.0,0.34476205706596375
46080.0,0.34476205706596375
46336.0,0.45679157972335815
46592.0,0.6765741109848022
46848.0,0.4718940556049347
47104.0,0.4718940556049347
47360.0,0.3590030074119568
47616.0,0.46448495984077454
47872.0,0.5387545824050903
48128.0,0.5387545824050903
48384.0,0.6713333129882812
48640.0,0.4735942780971527
48896.0,0.5061039328575134
49152.0,0.5061039328575134
49408.0,0.4322856366634369
49664.0,0.46955040097236633
49920.0,0.4774894714355469
50176.0,0.4774894714355469
