experiment,value,strategy,total_procurement_cost,avg_weekly_cost,weekly_cost_volatility,cvar,hedge_error,mean_reward,avg_adjustment_mwh,total_trans_cost,max_drawdown,settlement_records
合约比例扰动,-0.1,ppo_contract_shift,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824
合约比例扰动,0.0,ppo_contract_shift,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824
合约比例扰动,0.1,ppo_contract_shift,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824
政策边界前样本,2026-01-01,ppo_policy_before,11629013322.465492,1292112591.3850546,223721807.3236362,1626336344.8403406,104.00877946002575,0.01894821257580908,104.00877946002575,4316963.939951765,10215498931.96214,6048
政策边界后样本,2026-01-01,ppo_policy_after,12585264016.740776,1144114910.6127977,538632875.435233,2017188250.2174573,2343.0479501935934,-0.036080936004667635,2343.0479501935934,212263714.4913998,10891774833.775326,7200
政策边界前样本,2026-02-01,ppo_policy_before,17206233498.284462,1323556422.9449587,417285060.06360877,2026469188.6104245,290.75202874770946,0.03657757480751334,290.75202874770946,35118499.960949704,15792719107.781109,8736
政策边界后样本,2026-02-01,ppo_policy_after,7034645899.054231,1004949414.1506044,380592155.6536149,1436830524.4249496,3276.168805432145,-0.11421841369815365,3276.168805432145,173478444.08928934,6498510959.968581,4512
预测误差水平,0.8,ppo_forecast_error,3480002011.5617104,1160000670.52057,167058724.56319752,1395902456.400898,2375.156446877495,0.1133829102420486,2375.156446877495,60535553.23857749,2084099555.1608124,1824
预测误差水平,1.0,ppo_forecast_error,3667314421.9092283,1222438140.6364095,148150358.48877507,1430778849.7197278,2889.357232675942,-0.1599373263447963,2889.357232675942,87804974.55047157,2236535572.189501,1824
预测误差水平,1.2,ppo_forecast_error,4371599810.9100065,1457199936.9700022,180835180.13598928,1658728589.0586271,3389.682171303601,-0.7540471282543809,3389.682171303601,119809115.9816199,2712871221.8513794,1824
